From-To,Total Post
28:21:2-28:21:4,452
28:21:6-28:21:8,612
28:21:8-28:21:10,1028
28:21:10-28:21:12,634
28:21:12-28:21:14,424
28:21:14-28:21:16,497
28:21:16-28:21:18,501
28:21:18-28:21:20,1137
28:21:20-28:21:22,785
28:21:22-28:21:24,656
28:21:24-28:21:26,592
28:21:26-28:21:28,531
28:21:28-28:21:30,425
28:21:30-28:21:32,557
28:21:32-28:21:34,442
28:21:34-28:21:36,459
28:21:36-28:21:38,451
28:21:38-28:21:40,421
28:21:40-28:21:42,539
28:21:42-28:21:44,412
28:21:46-28:21:48,531
28:21:48-28:21:50,770
28:21:50-28:21:52,691
28:21:52-28:21:54,506
28:21:56-28:21:58,534
28:21:58-28:22:0,416
